"stratum","x0001","x0010","x0011","x0100","x0101","x0110","x0111","x1000","x1001","x1010","x1011","x1100","x1101","x1110","x1111","stratum.type","nk","sname","dgalog.025","dgalog.250","dgalog.nhat","dgalog.750","dgalog.975","sat.renormlog","diptestlog","diptest.pvallog","topgraphlog"
"8082.CUSCATLAN",267,410,75,98,29,6,7,42,10,5,2,1,10,1,3,"pd3.dp",966,"pd3.dp-8082.CUSCATLAN",2457,3924,4601,5403,7453,NA,0.011072,0.610023012270221,52
"8082.LA LIBERTAD",234,181,39,77,34,5,5,68,19,0,4,5,20,1,1,"pd3.dp",693,"pd3.dp-8082.LA LIBERTAD",1748,2197,3049,3912,5661,NA,0.0200504807692308,0.00787471599225775,52
"8082.LA PAZ",191,144,10,46,4,1,2,29,6,1,1,1,5,1,0,"pd3.dp",442,"pd3.dp-8082.LA PAZ",1550,1967,2284,2609,3452,NA,0.00810617059891107,0.971799606534714,19
"8082.MORAZAN",505,188,87,117,346,3,11,61,7,7,15,2,4,0,0,"pd3.dp",1353,"pd3.dp-8082.MORAZAN",2615,4084,4858,5766,7921,NA,0.00513763440860215,1,51
"8082.SAN MIGUEL",55,49,7,63,3,0,0,70,6,4,0,1,0,0,0,"pd3.dp",258,"pd3.dp-8082.SAN MIGUEL",677,835,954,1076,1473,NA,0.00875568181818182,0.929688572370889,21
"8082.SAN SALVADOR",833,340,72,491,84,9,7,401,186,23,19,29,79,2,9,"pd3.dp",2584,"pd3.dp-8082.SAN SALVADOR",7179,9952,11057,12170,14803,NA,0.00824221453287198,0.964661608524811,52
"8082.SAN VICENTE",940,303,149,88,13,2,3,48,16,2,5,4,2,0,1,"pd3.dp",1576,"pd3.dp-8082.SAN VICENTE",4428,5873,6799,8037,10644,NA,0.0098689776733255,0.802560684084192,36
"8082.SANTA ANA",204,104,32,172,14,2,2,36,5,4,0,1,4,3,6,"pd3.dp",589,"pd3.dp-8082.SANTA ANA",1052,1189,1278,1394,2057,NA,0.00799056603773584,0.977865184790056,60
"8082.SONSONATE",100,90,24,14,8,0,2,14,0,1,0,0,5,1,1,"pd3.dp",260,"pd3.dp-8082.SONSONATE",547,634,704,782,1235,NA,0.0103709677419355,0.724928444957777,30
"8082.USULUTAN",320,144,15,36,6,0,0,108,33,6,1,4,2,0,0,"pd3.dp",675,"pd3.dp-8082.USULUTAN",1593,1885,2231,2829,3888,NA,0.006359375,0.995687692981963,10
"8385.CHALATENANGO",64,179,8,62,6,6,3,14,4,1,2,1,3,0,0,"pd3.dp",353,"pd3.dp-8385.CHALATENANGO",1001,1267,1432,1623,2073,NA,0.0105744680851064,0.692759809596142,13
"8385.CUSCATLAN",225,94,23,293,36,17,19,21,2,1,0,8,6,2,3,"pd3.dp",750,"pd3.dp-8385.CUSCATLAN",1377,1898,2192,2652,3993,NA,0.00757272727272727,0.990137860178732,50
"8385.LA LIBERTAD",57,24,2,70,13,2,2,25,8,0,0,8,9,2,0,"pd3.dp",222,"pd3.dp-8385.LA LIBERTAD",385,446,503,571,737,NA,0.0105923076923077,0.689793181886029,19
"8385.SAN SALVADOR",310,75,2,816,101,8,13,142,56,2,4,29,50,3,8,"pd3.dp",1619,"pd3.dp-8385.SAN SALVADOR",3203,4202,5041,6114,9787,NA,0.00668129330254042,0.994215249409262,56
"8385.SAN VICENTE",65,29,1,101,2,2,0,16,4,0,0,1,3,0,0,"pd3.dp",224,"pd3.dp-8385.SAN VICENTE",738,1043,1231,1464,2174,NA,0.0103201438848921,0.73284882594406,4
"8385.SANTA ANA",47,20,0,193,13,0,1,5,5,0,0,1,5,0,2,"pd3.dp",292,"pd3.dp-8385.SANTA ANA",489,709,861,1064,1732,NA,0.00627906976744186,0.996055006435722,54
"8688.CHALATENANGO",35,77,11,65,15,3,1,18,0,1,0,0,0,0,0,"pd3.dp",226,"pd3.dp-8688.CHALATENANGO",372,450,510,634,1444,NA,0.00815217391304348,0.969385889471663,25
"8688.SAN SALVADOR",131,38,7,175,95,5,5,72,16,1,1,12,22,1,1,"pd3.dp",582,"pd3.dp-8688.SAN SALVADOR",1119,1340,1471,1621,1990,NA,0.0102424242424242,0.744960641423501,13
"8992.SAN SALVADOR",87,38,3,210,33,9,4,159,7,3,4,12,14,3,2,"pd3.dp",588,"pd3.dp-8992.SAN SALVADOR",1066,1346,1619,1922,2515,NA,0.00996335078534031,0.788451400131107,30
"1980",1656,1671,407,116,38,14,17,315,60,36,10,4,7,1,3,"period2.5",4355,"period2.5-1980",10974,13872,15460,16698,20666,NA,0.0323202814868279,0,39
"8182",2684,1826,402,1201,524,24,31,621,235,33,39,46,129,9,18,"period2.5",7822,"period2.5-8182",12985,29219,37039,41519,51457,NA,0.0277036989136058,1.85512080407291e-05,56
"8384",856,521,48,1506,181,37,37,223,89,5,7,43,84,8,13,"period2.5",3658,"period2.5-8384",12067,15745,18419,21554,31580,NA,0.00723790776152981,0.991669313449289,56
"8586",274,167,24,638,98,23,6,156,23,1,3,16,26,2,2,"period2.5",1459,"period2.5-8586",4492,5673,6296,6907,8427,NA,0.00610180995475113,0.996865786903421,42
"8788",310,131,16,325,194,16,15,144,21,3,2,19,38,1,7,"period2.5",1242,"period2.5-8788",2953,3326,3572,3909,4952,NA,0.00768541666666667,0.987621134805164,30
"8990",212,123,27,452,95,13,16,255,23,6,4,28,30,5,6,"period2.5",1295,"period2.5-8990",3771,4426,4818,5227,6187,NA,0.00553543307086614,0.999456375869074,42
"9192",65,22,3,0,0,0,0,114,8,3,2,0,0,0,0,"period2.5",217,"period2.5-9192",536,687,777,887,1183,NA,0.00738793103448275,0.990983112005407,1
"1980.CABANAS",74,178,33,4,1,0,0,9,0,10,1,0,0,0,0,"pd2.5.dp",310,"pd2.5.dp-1980.CABANAS",565,646,704,770,979,NA,0.0123648648648649,0.406075701273187,5
"1980.CHALATENANGO",273,567,152,9,4,8,9,6,3,3,0,0,1,0,0,"pd2.5.dp",1035,"pd2.5.dp-1980.CHALATENANGO",1756,1943,2015,2101,2275,NA,0.0095,0.849178843168746,3
"1980.CUSCATLAN",127,224,32,39,8,1,1,21,4,4,0,0,3,0,0,"pd2.5.dp",464,"pd2.5.dp-1980.CUSCATLAN",975,1159,1256,1377,1659,NA,0.00838888888888888,0.956965850023344,5
"1980.LA LIBERTAD",135,97,31,6,8,1,0,13,4,0,0,0,1,0,0,"pd2.5.dp",296,"pd2.5.dp-1980.LA LIBERTAD",554,653,712,781,955,NA,0.008,0.977370200545581,15
"1980.LA PAZ",79,90,9,10,0,0,2,16,0,1,1,0,0,1,0,"pd2.5.dp",209,"pd2.5.dp-1980.LA PAZ",557,684,777,882,1143,NA,0.00833333333333333,0.959880757240807,1
"1980.MORAZAN",175,72,26,2,1,0,0,26,0,3,1,1,1,0,0,"pd2.5.dp",308,"pd2.5.dp-1980.MORAZAN",635,738,816,902,1253,NA,0.0091125,0.898137189299701,19
"1980.SAN SALVADOR",284,138,23,20,8,4,1,138,26,7,6,0,1,0,2,"pd2.5.dp",658,"pd2.5.dp-1980.SAN SALVADOR",1673,1871,1993,2129,2510,NA,0.00586363636363636,0.997955184960806,1
"1980.SAN VICENTE",217,104,52,22,5,0,2,16,5,1,1,0,0,0,1,"pd2.5.dp",426,"pd2.5.dp-1980.SAN VICENTE",803,910,994,1152,1675,NA,0.0099375,0.792479981994051,1
"1980.SANTA ANA",116,54,23,0,0,0,1,10,0,1,0,0,0,0,0,"pd2.5.dp",205,"pd2.5.dp-1980.SANTA ANA",375,439,483,540,721,NA,0.00747058823529412,0.990605040727348,32
"8182.CABANAS",69,136,12,22,0,1,0,10,1,0,0,0,1,0,0,"pd2.5.dp",252,"pd2.5.dp-8182.CABANAS",701,892,1032,1204,1601,NA,0.00741891891891892,0.99084137445613,6
"8182.CHALATENANGO",217,557,101,19,12,1,0,7,0,0,1,2,2,1,0,"pd2.5.dp",920,"pd2.5.dp-8182.CHALATENANGO",1789,2028,2135,2264,3260,NA,0.00837878787878788,0.957495833153792,28
"8182.CUSCATLAN",140,186,43,59,21,5,6,21,6,1,2,1,7,1,3,"pd2.5.dp",502,"pd2.5.dp-8182.CUSCATLAN",1094,1394,1858,2292,3307,NA,0.0138408450704225,0.230633014365644,52
"8182.LA LIBERTAD",99,84,8,71,26,4,5,55,15,0,4,5,19,1,1,"pd2.5.dp",397,"pd2.5.dp-8182.LA LIBERTAD",1011,1185,1298,1470,2009,NA,0.00620588235294118,0.996389763227224,13
"8182.LA PAZ",112,54,1,36,4,1,0,13,6,0,0,1,5,0,0,"pd2.5.dp",233,"pd2.5.dp-8182.LA PAZ",566,881,1129,1442,2354,NA,0.00684782608695652,0.993453534010907,36
"8182.MORAZAN",330,116,61,115,345,3,11,35,7,4,14,1,3,0,0,"pd2.5.dp",1045,"pd2.5.dp-8182.MORAZAN",1507,1624,1736,2923,4719,NA,0.0191965539246969,0.0137578780922039,28
"8182.SAN SALVADOR",549,202,49,471,76,5,6,263,160,16,13,29,78,2,7,"pd2.5.dp",1926,"pd2.5.dp-8182.SAN SALVADOR",4053,5073,6792,8288,12693,NA,0.0196417708685367,0.00983791035928738,52
"8182.SAN VICENTE",723,199,97,66,8,2,1,32,11,1,4,4,2,0,0,"pd2.5.dp",1150,"pd2.5.dp-8182.SAN VICENTE",2419,2705,3828,5268,8170,NA,0.0252057933419801,0.000152212828152032,36
"8182.SANTA ANA",88,50,9,172,14,2,1,26,5,3,0,1,4,3,6,"pd2.5.dp",384,"pd2.5.dp-8182.SANTA ANA",664,793,911,1070,1411,NA,0.00881775700934579,0.92430107572496,60
"8182.USULUTAN",259,117,12,36,5,0,0,81,21,5,1,2,2,0,0,"pd2.5.dp",541,"pd2.5.dp-8182.USULUTAN",1405,1730,1966,2232,3024,NA,0.00581967213114754,0.998156275893027,5
"8384.CHALATENANGO",47,147,5,41,5,6,1,11,4,1,2,1,3,0,0,"pd2.5.dp",274,"pd2.5.dp-8384.CHALATENANGO",730,916,1059,1223,1651,NA,0.00784027777777778,0.983158418676191,13
"8384.CUSCATLAN",207,91,19,204,32,12,18,14,2,1,0,8,5,2,3,"pd2.5.dp",618,"pd2.5.dp-8384.CUSCATLAN",1110,1436,1717,2090,3411,NA,0.0120277777777778,0.457062023062974,50
"8384.SAN SALVADOR",270,60,2,699,89,7,12,99,51,2,4,23,42,3,6,"pd2.5.dp",1369,"pd2.5.dp-8384.SAN SALVADOR",2617,3550,3967,4433,6044,NA,0.00641726618705036,0.99542290062435,54
"8384.SANTA ANA",42,18,0,165,13,0,0,4,5,0,0,0,5,0,2,"pd2.5.dp",254,"pd2.5.dp-8384.SANTA ANA",491,673,781,919,1549,NA,0.00668181818181819,0.994212848628962,43
"8586.SAN SALVADOR",90,28,3,179,32,3,1,63,14,0,1,9,12,0,2,"pd2.5.dp",437,"pd2.5.dp-8586.SAN SALVADOR",981,1322,1511,1719,2273,NA,0.00606779661016949,0.997021362806438,13
"8788.SAN SALVADOR",81,25,4,113,75,3,5,52,7,1,0,9,18,1,1,"pd2.5.dp",395,"pd2.5.dp-8788.SAN SALVADOR",723,825,891,983,1254,NA,0.00743396226415094,0.990772566697068,3
"8990.SAN SALVADOR",72,36,2,210,33,9,4,102,3,2,3,12,14,3,2,"pd2.5.dp",507,"pd2.5.dp-8990.SAN SALVADOR",943,1161,1303,1477,1893,NA,0.00786363636363636,0.982485281714218,30
"8085.AHUACHAPAN",48,106,0,140,4,0,0,28,2,0,0,1,1,0,0,"pd4.dp",330,"pd4.dp-8085.AHUACHAPAN",862,1223,1473,1805,2645,NA,0.006,0.997331462238832,35
"8085.CABANAS",181,367,53,89,3,11,0,31,1,10,1,0,1,0,0,"pd4.dp",748,"pd4.dp-8085.CABANAS",1781,2078,2275,2650,4177,NA,0.00595833333333333,0.997522044181657,14
"8085.CHALATENANGO",554,1303,261,90,22,15,12,27,7,4,3,3,6,1,0,"pd4.dp",2308,"pd4.dp-8085.CHALATENANGO",4835,6240,8070,9288,11733,NA,0.0603457772337821,0,39
"8085.CUSCATLAN",492,504,98,391,65,23,26,63,12,6,2,9,16,3,6,"pd4.dp",1716,"pd4.dp-8085.CUSCATLAN",5399,7452,8225,9135,11260,NA,0.00671356783919598,0.994067626755672,52
"8085.LA LIBERTAD",291,205,41,147,47,7,7,93,27,0,4,13,29,3,1,"pd4.dp",915,"pd4.dp-8085.LA LIBERTAD",2603,3810,4587,5442,7591,NA,0.0103357363542739,0.730418898244636,52
"8085.LA PAZ",209,162,11,95,16,3,2,39,8,1,1,3,6,2,1,"pd4.dp",559,"pd4.dp-8085.LA PAZ",1746,2286,2576,2980,3993,NA,0.00693624161073825,0.993049124355749,19
"8085.MORAZAN",572,227,101,137,349,5,11,73,11,7,16,2,5,0,0,"pd4.dp",1516,"pd4.dp-8085.MORAZAN",2663,3184,4766,5697,8144,NA,0.0455108069164265,0,51
"8085.SAN MIGUEL",78,63,8,140,6,0,0,83,8,4,0,1,5,1,0,"pd4.dp",397,"pd4.dp-8085.SAN MIGUEL",782,1090,1317,1537,2233,NA,0.00668778280542986,0.994185566639615,60
"8085.SAN SALVADOR",1143,415,74,1307,185,17,20,543,242,25,23,58,129,5,17,"pd4.dp",4203,"pd4.dp-8085.SAN SALVADOR",10558,12846,16949,29144,40693,NA,0.0357807651434644,0,56
"8085.SAN VICENTE",1005,332,150,189,15,4,3,64,20,2,5,5,5,0,1,"pd4.dp",1800,"pd4.dp-8085.SAN VICENTE",9287,11240,12459,13987,17352,NA,0.00738260254596888,0.991007484334046,36
"8085.SANTA ANA",251,124,32,365,27,2,3,41,10,4,0,2,9,3,8,"pd4.dp",881,"pd4.dp-8085.SANTA ANA",1581,1763,1885,2023,2370,NA,0.00685087719298245,0.993439578353766,60
"8085.SONSONATE",112,100,26,34,16,1,7,26,3,1,0,0,12,1,1,"pd4.dp",340,"pd4.dp-8085.SONSONATE",711,849,1001,1380,2323,NA,0.00652298850574713,0.994939330266817,52
"8085.USULUTAN",362,163,16,112,11,0,0,138,38,7,2,4,6,0,1,"pd4.dp",860,"pd4.dp-8085.USULUTAN",3016,3603,3915,4286,5155,NA,0.00792753623188406,0.980643844760666,17
"8692.CHALATENANGO",70,144,25,86,24,6,4,26,5,2,1,0,0,1,0,"pd4.dp",394,"pd4.dp-8692.CHALATENANGO",635,713,770,893,1860,NA,0.00704545454545455,0.992549588037031,23
"8692.LA LIBERTAD",40,19,2,87,20,2,0,43,2,0,0,13,3,0,1,"pd4.dp",232,"pd4.dp-8692.LA LIBERTAD",433,516,587,689,1058,NA,0.00797619047619048,0.978619446495922,3
"8692.MORAZAN",82,5,1,71,21,3,3,14,10,0,0,0,8,0,0,"pd4.dp",218,"pd4.dp-8692.MORAZAN",358,427,467,530,991,NA,0.00907692307692308,0.90180809111017,4
"8692.SAN SALVADOR",218,76,10,385,128,14,9,231,23,4,5,24,36,4,3,"pd4.dp",1170,"pd4.dp-8692.SAN SALVADOR",2516,3102,3541,3931,4786,NA,0.00976444444444444,0.815767842798373,42
"8692.USULUTAN",59,12,2,64,13,3,1,73,5,0,2,5,3,0,1,"pd4.dp",243,"pd4.dp-8692.USULUTAN",497,595,668,749,999,NA,0.00731609195402298,0.991311701562003,1
"EAST",799,325,111,431,414,10,15,216,33,14,16,8,25,1,0,"region",2418,"region-EAST",5566,6814,7510,8572,12548,NA,0.00552040816326531,0.999525099295026,41
"ECENTRAL",1925,1103,238,649,120,26,9,402,84,22,11,19,31,3,4,"region",4646,"region-ECENTRAL",20933,24334,26324,28535,33140,NA,0.00637518910741301,0.995615359782407,52
"WEST",483,357,63,634,84,5,20,152,18,8,1,6,31,4,16,"region",1882,"region-WEST",5118,6430,7530,8784,15878,NA,0.0134061051004637,0.275480403073306,61
"EAST.1980",223,105,30,3,1,0,0,44,5,7,1,2,1,0,0,"re.yr",422,"re.yr-EAST.1980",994,1156,1260,1378,1672,NA,0.005875,0.997903208067308,7
"EAST.1981",267,91,50,111,344,2,10,67,2,2,7,1,4,0,0,"re.yr",958,"re.yr-EAST.1981",2653,4026,4913,6055,9010,NA,0.00574371859296482,0.998503684841939,51
"EAST.1982",85,62,15,72,4,1,1,27,8,5,7,0,0,0,0,"re.yr",287,"re.yr-EAST.1982",456,515,555,618,1580,NA,0.009375,0.864971858049699,28
"ECENTRAL.1980",431,399,97,36,7,0,4,68,17,13,3,2,0,1,1,"re.yr",1079,"re.yr-ECENTRAL.1980",2518,2732,2870,3013,3323,NA,0.0102320675105485,0.746574632706343,1
"ECENTRAL.1981",539,303,49,29,4,1,0,71,29,4,5,1,3,0,0,"re.yr",1038,"re.yr-ECENTRAL.1981",3496,4002,4307,4623,5489,NA,0.0116502145922747,0.51531752608398,19
"ECENTRAL.1982",624,203,73,131,13,3,1,65,10,2,0,6,7,0,0,"re.yr",1138,"re.yr-ECENTRAL.1982",2734,4802,5590,6386,8576,NA,0.0247238372093023,0.000230029625261863,12
"ECENTRAL.1983",74,45,2,89,16,0,0,21,4,1,0,0,3,0,1,"re.yr",256,"re.yr-ECENTRAL.1983",569,748,1017,1445,2440,NA,0.00539169675090253,1,13
"ECENTRAL.1984",65,57,6,104,4,8,0,30,6,0,1,2,2,0,1,"re.yr",286,"re.yr-ECENTRAL.1984",796,983,1100,1241,1622,NA,0.00555882352941176,0.999349388692277,4
"WCENTRAL.1980",819,1026,238,74,28,14,11,178,37,14,6,0,6,0,2,"re.yr",2453,"re.yr-WCENTRAL.1980",5565,5879,6079,6329,12053,NA,0.0173083787337967,0.0428931003673036,45
"WCENTRAL.1981",647,597,123,55,45,4,8,171,67,6,6,7,32,1,2,"re.yr",1771,"re.yr-WCENTRAL.1981",4445,4860,5078,5357,10384,NA,0.00871538461538461,0.933185960632438,45
"WCENTRAL.1982",358,432,78,565,90,11,9,175,114,11,14,30,74,4,9,"re.yr",1974,"re.yr-WCENTRAL.1982",3706,7277,11353,13509,18076,NA,0.0454539045553145,0,52
"WCENTRAL.1983",402,197,22,713,90,11,30,59,33,1,3,18,36,1,6,"re.yr",1622,"re.yr-WCENTRAL.1983",3531,4879,5983,7513,12572,NA,0.00754678998911861,0.990256496448374,56
"WCENTRAL.1984",173,122,6,290,46,16,2,76,32,3,3,22,23,6,3,"re.yr",823,"re.yr-WCENTRAL.1984",1933,2170,2296,2469,3149,NA,0.00538888888888889,1,19
"WCENTRAL.1985",81,53,7,238,20,6,5,67,5,0,0,6,9,0,2,"re.yr",499,"re.yr-WCENTRAL.1985",1369,1991,2358,2817,3877,NA,0.007708,0.986970338713172,52
"WCENTRAL.1986",86,45,8,127,33,5,0,30,9,0,1,5,9,0,0,"re.yr",358,"re.yr-WCENTRAL.1986",632,725,834,1098,1518,NA,0.00745348837209302,0.99068325493097,13
"WCENTRAL.1987",55,34,5,67,45,4,6,31,6,0,0,6,12,0,2,"re.yr",273,"re.yr-WCENTRAL.1987",482,564,627,709,937,NA,0.00878846153846153,0.926843625303469,13
"WCENTRAL.1988",75,54,6,95,65,3,0,54,6,2,0,6,9,1,1,"re.yr",377,"re.yr-WCENTRAL.1988",844,1008,1121,1252,1693,NA,0.00571929824561404,0.998615382695761,3
"WCENTRAL.1989",77,62,10,215,32,8,5,70,4,3,2,12,10,4,1,"re.yr",515,"re.yr-WCENTRAL.1989",998,1146,1271,1432,1844,NA,0.00947058823529412,0.852894846670147,8
"WCENTRAL.1990",41,36,9,85,18,4,2,74,4,0,2,11,7,1,1,"re.yr",295,"re.yr-WCENTRAL.1990",618,757,847,961,1290,NA,0.00836363636363637,0.958290807849463,8
"WEST.1980",183,141,42,3,2,0,2,25,1,2,0,0,0,0,0,"re.yr",401,"re.yr-WEST.1980",828,957,1043,1153,1879,NA,0.00922448979591837,0.883987937192072,4
"WEST.1981",99,95,10,35,8,1,1,19,0,3,0,1,4,1,0,"re.yr",277,"re.yr-WEST.1981",755,970,1112,1265,1689,NA,0.0078587786259542,0.982625269759951,30
"WEST.1982",65,43,4,203,16,1,1,26,5,0,0,0,5,3,7,"re.yr",379,"re.yr-WEST.1982",689,875,1023,1200,1827,NA,0.00772881355932204,0.986370543153,60
"WEST.1983",45,30,1,156,21,1,5,13,8,0,0,0,8,0,2,"re.yr",290,"re.yr-WEST.1983",570,917,1223,1583,2804,NA,0.00911788617886179,0.897456677276376,54
"EAST.8083",622,301,104,225,353,4,11,147,15,14,15,3,10,0,0,"re.pd",1824,"re.pd-EAST.8083",5329,6786,7542,8362,10284,NA,0.00831574675324676,0.960803495726854,51
"EAST.8492",177,24,7,206,61,6,4,69,18,0,1,5,15,1,0,"re.pd",594,"re.pd-EAST.8492",1077,1210,1428,1782,2454,NA,0.00756081081081081,0.99019236567786,13
"ECENTRAL.8083",1668,950,221,285,40,4,5,225,60,20,8,9,13,1,2,"re.pd",3511,"re.pd-ECENTRAL.8083",9957,10761,11337,13308,21993,NA,0.00751150895140665,0.990417870737463,46
"ECENTRAL.8492",257,153,17,364,80,22,4,177,24,2,3,10,18,2,2,"re.pd",1135,"re.pd-ECENTRAL.8492",3276,3885,4244,4647,5724,NA,0.00699447513812154,0.992782766144878,13
"WCENTRAL.8083",2226,2252,461,1407,253,40,58,583,251,32,29,55,148,6,19,"re.pd",7820,"re.pd-WCENTRAL.8083",57391,68855,75998,84390,103972,NA,0.00883806600153492,0.922538461301234,57
"WCENTRAL.8492",624,424,54,1117,259,46,20,475,73,11,10,68,79,12,10,"re.pd",3282,"re.pd-WCENTRAL.8492",10949,12400,13183,14044,16121,NA,0.00814516129032258,0.969753830074148,52
"WEST.8083",392,309,57,397,47,3,9,83,14,5,0,1,17,4,9,"re.pd",1347,"re.pd-WEST.8083",2954,3301,3509,3727,4730,NA,0.01,0.782739992933007,61
"WEST.8492",91,48,6,237,37,2,11,69,4,3,1,5,14,0,7,"re.pd",535,"re.pd-WEST.8492",957,1242,1488,1829,2920,NA,0.0102263157894737,0.747470979911962,56
"EAST.8081",490,196,80,114,345,2,10,111,7,9,8,3,5,0,0,"re.pd2",1380,"re.pd2-EAST.8081",2638,5563,6684,7850,10452,NA,0.024801724137931,0.000208685005278153,51
"EAST.8283",132,105,24,111,8,2,1,36,8,5,7,0,5,0,0,"re.pd2",444,"re.pd2-EAST.8283",811,914,993,1116,2144,NA,0.00841803278688525,0.955436718368282,46
"ECENTRAL.8081",970,702,146,65,11,1,4,139,46,17,8,3,3,1,1,"re.pd2",2117,"re.pd2-ECENTRAL.8081",5914,6436,6768,7114,8094,NA,0.00831535269709544,0.960824171195006,19
"ECENTRAL.8283",698,248,75,220,29,3,1,86,14,3,0,6,10,0,1,"re.pd2",1394,"re.pd2-ECENTRAL.8283",3327,3727,4034,4501,11725,NA,0.0079581097812629,0.979568110362463,46
"ECENTRAL.8485",89,74,9,200,5,14,0,47,7,0,1,3,5,1,1,"re.pd2",456,"re.pd2-ECENTRAL.8485",1117,1363,1571,1796,2330,NA,0.00964529914529915,0.830821150657551,30
"ECENTRAL.8687",89,56,3,69,37,8,0,41,3,2,1,4,6,1,0,"re.pd2",320,"re.pd2-ECENTRAL.8687",683,821,916,1040,1352,NA,0.00816666666666667,0.968625478893194,8
"ECENTRAL.8889",60,15,3,79,34,0,4,36,10,0,1,3,7,0,1,"re.pd2",253,"re.pd2-ECENTRAL.8889",502,720,923,1158,1922,NA,0.0077,0.987200879026202,42
"WCENTRAL.8081",1466,1623,361,129,73,18,19,349,104,20,12,7,38,1,4,"re.pd2",4224,"re.pd2-WCENTRAL.8081",10223,10740,11021,11308,12301,NA,0.00617441860465116,0.996533677361888,45
"WCENTRAL.8283",760,629,100,1278,180,22,39,234,147,12,17,48,110,5,15,"re.pd2",3596,"re.pd2-WCENTRAL.8283",10893,15902,24039,27691,34716,NA,0.0371855263157895,0,52
"WCENTRAL.8485",254,175,13,528,66,22,7,143,37,3,3,28,32,6,5,"re.pd2",1322,"re.pd2-WCENTRAL.8485",3670,4144,4495,4841,5830,NA,0.00758235294117647,0.990093832692475,30
"WCENTRAL.8687",141,79,13,194,78,9,6,61,15,0,1,11,21,0,2,"re.pd2",631,"re.pd2-WCENTRAL.8687",1480,1687,1831,2012,2494,NA,0.00773504273504274,0.986191033637928,13
"WCENTRAL.8889",152,116,16,310,97,11,5,124,10,5,2,18,19,5,2,"re.pd2",892,"re.pd2-WCENTRAL.8889",2022,2302,2464,2685,3192,NA,0.00683333333333333,0.993519823382324,3
"WCENTRAL.9092",77,54,12,85,18,4,2,147,11,3,4,11,7,1,1,"re.pd2",437,"re.pd2-WCENTRAL.9092",1065,1253,1370,1515,1894,NA,0.00469767441860465,1,8
"WEST.8081",282,236,52,38,10,1,3,44,1,5,0,1,4,1,0,"re.pd2",678,"re.pd2-WEST.8081",1751,1971,2136,2349,4312,NA,0.00745833333333333,0.990661094239944,30
"WEST.8283",110,73,5,359,37,2,6,39,13,0,0,0,13,3,9,"re.pd2",669,"re.pd2-WEST.8283",1378,1739,2014,2389,3552,NA,0.0082534435261708,0.964072441999802,61
"WEST.8485",19,21,1,142,0,0,1,12,1,0,0,2,5,0,0,"re.pd2",204,"re.pd2-WEST.8485",377,589,742,950,1737,NA,0.00587012987012987,0.997925483878807,61
"EAST.1980",223,105,30,3,1,0,0,44,5,7,1,2,1,0,0,"re.pd2.5",422,"re.pd2.5-EAST.1980",975,1154,1267,1386,1693,NA,0.00643023255813953,0.995363592875705,7
"EAST.8182",352,153,65,183,348,3,11,94,10,7,14,1,4,0,0,"re.pd2.5",1245,"re.pd2.5-EAST.8182",2194,3151,4320,5651,8168,NA,0.0112263242375602,0.584622757109954,51
"EAST.8384",84,53,10,69,4,1,0,17,5,0,0,0,7,1,0,"re.pd2.5",251,"re.pd2.5-EAST.8384",518,697,841,1025,1506,NA,0.00816666666666667,0.968625478893194,30
"EAST.8788",63,8,1,67,31,5,4,15,3,0,0,3,7,0,0,"re.pd2.5",207,"re.pd2.5-EAST.8788",301,332,351,379,549,NA,0.0113,0.572576916292593,1
"ECENTRAL.1980",431,399,97,36,7,0,4,68,17,13,3,2,0,1,1,"re.pd2.5",1079,"re.pd2.5-ECENTRAL.1980",2533,2749,2864,2998,3315,NA,0.00903846153846154,0.905146162335943,1
"ECENTRAL.8182",1163,506,122,160,17,4,1,136,39,6,5,7,10,0,0,"re.pd2.5",2176,"re.pd2.5-ECENTRAL.8182",6505,9260,12618,14261,17776,NA,0.045423527912312,0,36
"ECENTRAL.8384",139,102,8,193,20,8,0,51,10,1,1,2,5,0,2,"re.pd2.5",542,"re.pd2.5-ECENTRAL.8384",1694,2003,2201,2490,3402,NA,0.00762857142857143,0.989259274678259,4
"ECENTRAL.8586",60,56,4,133,19,10,0,37,4,1,1,3,7,2,0,"re.pd2.5",337,"re.pd2.5-ECENTRAL.8586",716,828,917,1050,1455,NA,0.00631034482758621,0.995911955354339,13
"ECENTRAL.8788",96,24,3,60,38,4,1,38,6,1,1,3,7,0,1,"re.pd2.5",283,"re.pd2.5-ECENTRAL.8788",564,667,735,818,1030,NA,0.00925,0.880764872930653,3
"WCENTRAL.1980",819,1026,238,74,28,14,11,178,37,14,6,0,6,0,2,"re.pd2.5",2453,"re.pd2.5-WCENTRAL.1980",5563,5903,6102,6369,11891,NA,0.0133464079273328,0.281638710367671,45
"WCENTRAL.8182",1005,1029,201,620,135,15,17,346,181,17,20,37,106,5,11,"re.pd2.5",3745,"re.pd2.5-WCENTRAL.8182",20312,26172,29189,32623,43366,NA,0.00633616692426584,0.995793845945867,52
"WCENTRAL.8384",575,319,28,1003,136,27,32,135,65,4,6,40,59,7,9,"re.pd2.5",2445,"re.pd2.5-WCENTRAL.8384",6368,8267,9825,11803,16618,NA,0.00556414473684211,0.999325049667071,56
"WCENTRAL.8586",167,98,15,365,53,11,5,97,14,0,1,11,18,0,2,"re.pd2.5",857,"re.pd2.5-WCENTRAL.8586",2678,3498,4000,4560,6312,NA,0.00775,0.985760002069763,52
