"stratum","x0001","x0010","x0011","x0100","x0101","x0110","x0111","x1000","x1001","x1010","x1011","x1100","x1101","x1110","x1111","stratum.type","nk","sname","dgalog.025","dgalog.250","dgalog.nhat","dgalog.750","dgalog.975","sat.renormlog","diptestlog","diptest.pvallog","topgraphlog"
"AHUACHAPAN",65,113,0,158,13,0,2,47,3,0,0,2,5,0,4,"dept",412,"dept-AHUACHAPAN",710,1320,1775,2267,3725,NA,0.00526712328767123,1,55
"CABANAS",205,381,55,109,21,12,0,38,4,11,1,0,2,1,0,"dept",840,"dept-CABANAS",1864,2082,2198,2330,2633,NA,0.00641025641025641,0.995454963109474,5
"CHALATENANGO",624,1447,286,176,46,21,16,53,12,6,4,3,6,2,0,"dept",2702,"dept-CHALATENANGO",5496,10948,12459,13869,16974,NA,0.0448636466591166,0,52
"CUSCATLAN",534,514,102,422,86,25,26,95,18,8,3,12,24,4,7,"dept",1880,"dept-CUSCATLAN",6880,7946,8701,9517,11274,NA,0.00738038942976356,0.991017607053713,52
"LA LIBERTAD",331,224,43,234,67,9,7,136,29,0,4,26,32,3,2,"dept",1147,"dept-LA LIBERTAD",4643,5916,6810,7887,10366,NA,0.00950127551020408,0.849017689955675,52
"LA PAZ",252,195,12,143,37,6,4,61,12,2,1,4,10,2,1,"dept",742,"dept-LA PAZ",2845,3493,3844,4314,5384,NA,0.00717045454545454,0.991977842208555,30
"MORAZAN",654,232,102,208,370,8,14,87,21,7,16,2,13,0,0,"dept",1734,"dept-MORAZAN",2987,3161,3287,3408,4957,NA,0.00885294117647059,0.921247447072026,28
"SAN MIGUEL",118,70,8,195,39,2,1,118,10,4,0,6,9,1,0,"dept",581,"dept-SAN MIGUEL",1713,2065,2326,2675,3750,NA,0.00734496124031008,0.991179654409957,3
"SAN SALVADOR",1361,491,84,1692,313,31,29,774,265,29,28,82,165,9,20,"dept",5373,"dept-SAN SALVADOR",19632,23851,27107,30915,37988,NA,0.00999952262745847,0.782814386586327,57
"SAN VICENTE",1047,352,153,221,38,5,4,92,25,2,5,6,10,0,1,"dept",1961,"dept-SAN VICENTE",7205,8868,9961,11834,18832,NA,0.00752439024390244,0.990358952135464,36
"SANTA ANA",296,142,35,430,50,3,11,64,11,7,1,3,12,3,11,"dept",1079,"dept-SANTA ANA",1729,2652,6967,9545,15530,NA,0.0520129743303571,0,57
"SONSONATE",122,102,28,46,21,2,7,41,4,1,0,1,14,1,1,"dept",391,"dept-SONSONATE",793,987,1337,1823,2870,NA,0.0111271929824561,0.60084472547778,52
"USULUTAN",421,175,18,176,24,3,1,211,43,7,4,9,9,0,2,"dept",1103,"dept-USULUTAN",3591,4193,4577,5059,6462,NA,0.00748203592814371,0.990552679362289,4
"CABANAS.1980",74,178,33,4,1,0,0,9,0,10,1,0,0,0,0,"dp.yr",310,"dp.yr-CABANAS.1980",553,647,702,771,977,NA,0.00675,0.993900987267975,5
"CHALATENANGO.1980",273,567,152,9,4,8,9,6,3,3,0,0,1,0,0,"dp.yr",1035,"dp.yr-CHALATENANGO.1980",1776,1945,2021,2100,2268,NA,0.0084047619047619,0.956133019389784,3
"CHALATENANGO.1981",119,292,48,3,3,0,0,5,0,0,0,0,2,0,0,"dp.yr",472,"dp.yr-CHALATENANGO.1981",997,1138,1223,1318,1630,NA,0.0087962962962963,0.926163647831552,28
"CHALATENANGO.1982",98,265,53,16,9,1,0,2,0,0,1,2,0,1,0,"dp.yr",448,"dp.yr-CHALATENANGO.1982",727,863,918,978,1134,NA,0.00713636363636364,0.992133772889049,21
"CUSCATLAN.1980",127,224,32,39,8,1,1,21,4,4,0,0,3,0,0,"dp.yr",464,"dp.yr-CUSCATLAN.1980",970,1166,1269,1386,1692,NA,0.0101194690265487,0.764121960745524,5
"CUSCATLAN.1981",96,125,29,17,10,1,3,14,5,1,0,0,3,1,2,"dp.yr",307,"dp.yr-CUSCATLAN.1981",615,706,765,833,1022,NA,0.00933333333333333,0.870236196343351,16
"CUSCATLAN.1983",174,62,18,81,15,4,18,7,1,0,0,0,3,0,0,"dp.yr",383,"dp.yr-CUSCATLAN.1983",609,811,977,1218,2017,NA,0.00809999999999999,0.972123367554149,41
"CUSCATLAN.1984",33,29,1,123,17,8,0,7,1,1,0,8,2,2,3,"dp.yr",235,"dp.yr-CUSCATLAN.1984",417,491,544,613,845,NA,0.0066,0.994587082262146,22
"LA LIBERTAD.1980",135,97,31,6,8,1,0,13,4,0,0,0,1,0,0,"dp.yr",296,"dp.yr-LA LIBERTAD.1980",558,662,719,789,956,NA,0.00794897959183674,0.980025899896177,15
"LA LIBERTAD.1982",36,31,2,64,18,2,3,29,9,0,3,3,10,1,1,"dp.yr",212,"dp.yr-LA LIBERTAD.1982",448,563,638,727,1004,NA,0.0103604651162791,0.726565172301866,13
"LA PAZ.1980",79,90,9,10,0,0,2,16,0,1,1,0,0,1,0,"dp.yr",209,"dp.yr-LA PAZ.1980",544,682,774,897,1168,NA,0.00607446808510638,0.996990847702718,1
"MORAZAN.1980",175,72,26,2,1,0,0,26,0,3,1,1,1,0,0,"dp.yr",308,"dp.yr-MORAZAN.1980",625,724,802,899,1220,NA,0.00813235294117647,0.970425862762803,19
"MORAZAN.1981",253,72,49,109,344,2,10,30,1,1,7,1,3,0,0,"dp.yr",882,"dp.yr-MORAZAN.1981",1825,2848,3454,4172,6188,NA,0.00599616858237548,0.997348987015184,51
"SAN SALVADOR.1980",284,138,23,20,8,4,1,138,26,7,6,0,1,0,2,"dp.yr",658,"dp.yr-SAN SALVADOR.1980",1692,1894,2029,2163,2469,NA,0.00775609756097561,0.985584285367758,1
"SAN SALVADOR.1981",369,127,40,28,24,1,3,126,56,5,5,5,18,0,0,"dp.yr",807,"dp.yr-SAN SALVADOR.1981",1594,1748,1846,1985,3173,NA,0.00708823529411765,0.992353910320334,27
"SAN SALVADOR.1982",180,75,9,443,52,4,3,137,104,11,8,24,60,2,7,"dp.yr",1119,"dp.yr-SAN SALVADOR.1982",2957,3454,3762,4122,4823,NA,0.00751898734177215,0.990383664829502,31
"SAN SALVADOR.1983",173,43,1,587,67,4,10,45,28,1,3,14,26,1,6,"dp.yr",1009,"dp.yr-SAN SALVADOR.1983",1956,2409,2705,3042,4024,NA,0.00804844290657439,0.974828482141427,54
"SAN SALVADOR.1984",97,17,1,112,22,3,2,54,23,1,1,9,16,2,0,"dp.yr",360,"dp.yr-SAN SALVADOR.1984",652,738,791,850,1080,NA,0.00783333333333333,0.983358540475697,4
"SAN SALVADOR.1985",40,15,0,117,12,1,1,43,5,0,0,6,8,0,2,"dp.yr",250,"dp.yr-SAN SALVADOR.1985",543,722,869,1036,1556,NA,0.009,0.908484233561716,13
"SAN SALVADOR.1988",49,16,1,73,46,2,0,34,4,1,0,4,9,1,0,"dp.yr",240,"dp.yr-SAN SALVADOR.1988",471,559,623,712,974,NA,0.00647297297297297,0.995168099644598,3
"SAN SALVADOR.1989",55,18,2,159,22,8,2,45,1,2,2,9,9,2,1,"dp.yr",337,"dp.yr-SAN SALVADOR.1989",589,645,686,731,845,NA,0.0112173913043478,0.586083273946767,1
"SAN VICENTE.1980",217,104,52,22,5,0,2,16,5,1,1,0,0,0,1,"dp.yr",426,"dp.yr-SAN VICENTE.1980",801,905,983,1198,1685,NA,0.00740625,0.990899321668475,1
"SAN VICENTE.1981",282,79,27,15,1,0,0,13,7,0,4,1,1,0,0,"dp.yr",430,"dp.yr-SAN VICENTE.1981",922,1073,1177,1300,1719,NA,0.00633928571428572,0.995779580704397,5
"SAN VICENTE.1982",441,120,70,51,7,2,1,19,4,1,0,3,1,0,0,"dp.yr",720,"dp.yr-SAN VICENTE.1982",1518,2518,2938,3352,4463,NA,0.00862235649546828,0.941259857379731,12
"SANTA ANA.1980",116,54,23,0,0,0,1,10,0,1,0,0,0,0,0,"dp.yr",205,"dp.yr-SANTA ANA.1980",373,443,493,544,723,NA,0.00743939393939394,0.990747722395773,32
"SANTA ANA.1982",27,24,3,170,10,1,1,17,5,0,0,0,4,2,6,"dp.yr",270,"dp.yr-SANTA ANA.1982",404,525,605,713,986,NA,0.00595833333333333,0.997522044181657,60
"SANTA ANA.1983",33,8,0,134,13,0,0,4,5,0,0,0,3,0,2,"dp.yr",202,"dp.yr-SANTA ANA.1983",398,501,574,663,1201,NA,0.00843055555555556,0.954779669610247,43
"USULUTAN.1981",100,74,9,1,1,0,0,43,15,4,1,0,2,0,0,"dp.yr",250,"dp.yr-USULUTAN.1981",472,667,775,927,1269,NA,0.0053125,1,16
"USULUTAN.1982",159,43,3,35,4,0,0,38,6,1,0,2,0,0,0,"dp.yr",291,"dp.yr-USULUTAN.1982",937,1223,1415,1628,2169,NA,0.00725949367088608,0.991570580220262,1
"AHUACHAPAN.8083",46,99,0,66,4,0,0,22,1,0,0,0,0,0,0,"dp.pd",238,"dp.pd-AHUACHAPAN.8083",568,749,918,1146,1819,NA,0.008125,0.970811659306291,47
"CABANAS.8083",162,322,46,30,3,1,0,21,1,10,1,0,1,0,0,"dp.pd",598,"dp.pd-CABANAS.8083",1397,1555,1683,1808,2079,NA,0.00814102564102564,0.969970820685869,5
"CABANAS.8492",43,59,9,79,18,11,0,17,3,1,0,0,1,1,0,"dp.pd",242,"dp.pd-CABANAS.8492",465,543,586,641,812,NA,0.00743478260869565,0.990768814468497,1
"CHALATENANGO.8083",518,1199,255,32,17,10,10,17,4,3,1,2,4,1,0,"dp.pd",2073,"dp.pd-CHALATENANGO.8083",4229,4457,4597,4750,6420,NA,0.00698333333333333,0.992833728388153,16
"CHALATENANGO.8492",106,248,31,144,29,11,6,36,8,3,3,1,2,1,0,"dp.pd",629,"dp.pd-CHALATENANGO.8492",1321,2412,2917,3399,4684,NA,0.0148298342541436,0.153145922376235,42
"CUSCATLAN.8083",441,472,93,179,44,10,25,49,11,5,2,1,13,1,3,"dp.pd",1349,"dp.pd-CUSCATLAN.8083",3510,5217,6340,7404,9857,NA,0.00669064748201439,0.994172463704518,52
"CUSCATLAN.8492",93,42,9,243,42,15,1,46,7,3,1,11,11,3,4,"dp.pd",531,"dp.pd-CUSCATLAN.8492",917,1004,1055,1120,1269,NA,0.00760294117647059,0.989997875471056,4
"LA LIBERTAD.8083",261,198,40,118,41,7,6,71,22,0,4,9,26,1,1,"dp.pd",805,"dp.pd-LA LIBERTAD.8083",2094,2663,3792,4619,6760,NA,0.0245919621749409,0.000266169482659451,52
"LA LIBERTAD.8492",70,26,3,116,26,2,1,65,7,0,0,17,6,2,1,"dp.pd",342,"dp.pd-LA LIBERTAD.8492",641,720,774,857,1156,NA,0.00825,0.964253118067,1
"LA PAZ.8083",204,151,10,77,16,1,2,30,8,1,1,1,5,1,0,"dp.pd",508,"dp.pd-LA PAZ.8083",1231,2349,2801,3228,4322,NA,0.00761416184971098,0.989674523280899,13
"LA PAZ.8492",48,44,2,66,21,5,2,31,4,1,0,3,5,1,1,"dp.pd",234,"dp.pd-LA PAZ.8492",505,628,698,802,1088,NA,0.00933333333333333,0.870236196343351,3
"MORAZAN.8083",532,216,96,125,347,4,11,63,7,7,15,2,5,0,0,"dp.pd",1430,"dp.pd-MORAZAN.8083",2653,4077,4962,5751,7533,NA,0.00866796875,0.937301176565462,51
"MORAZAN.8492",122,16,6,83,23,4,3,24,14,0,1,0,8,0,0,"dp.pd",304,"dp.pd-MORAZAN.8492",530,627,680,741,952,NA,0.0091,0.899716490787797,4
"SAN MIGUEL.8083",67,62,7,92,6,0,0,76,6,4,0,1,3,0,0,"dp.pd",324,"dp.pd-SAN MIGUEL.8083",880,1068,1193,1340,1659,NA,0.00811650485436893,0.971257385409932,5
"SAN MIGUEL.8492",51,8,1,103,33,2,1,42,4,0,0,5,6,1,0,"dp.pd",257,"dp.pd-SAN MIGUEL.8492",498,613,692,779,998,NA,0.00782352941176471,0.983641065369116,3
"SAN SALVADOR.8083",1006,383,73,1078,151,13,17,446,214,24,22,43,105,3,15,"dp.pd",3593,"dp.pd-SAN SALVADOR.8083",8263,9830,10896,12226,32624,NA,0.0100358514724712,0.77715290573794,56
"SAN SALVADOR.8492",355,108,11,614,162,18,12,328,51,5,6,39,60,6,5,"dp.pd",1780,"dp.pd-SAN SALVADOR.8492",3934,4449,4873,5399,6719,NA,0.00647474747474747,0.9951599831327,30
"SAN VICENTE.8083",970,321,149,119,14,2,3,53,17,2,5,4,4,0,1,"dp.pd",1664,"dp.pd-SAN VICENTE.8083",6574,8189,9316,10477,13523,NA,0.0100359424920128,0.777138721268509,36
"SAN VICENTE.8492",77,31,4,102,24,3,1,39,8,0,0,2,6,0,0,"dp.pd",297,"dp.pd-SAN VICENTE.8492",607,736,926,1174,1765,NA,0.00910509554140127,0.899072699098383,31
"SANTA ANA.8083",237,112,32,306,27,2,2,40,10,4,0,1,7,3,8,"dp.pd",791,"dp.pd-SANTA ANA.8083",1394,1550,1660,1780,2110,NA,0.00764285714285715,0.988847595547847,60
"SANTA ANA.8492",59,30,3,124,23,1,9,24,1,3,1,2,5,0,3,"dp.pd",288,"dp.pd-SANTA ANA.8492",472,645,762,908,1421,NA,0.007390625,0.990970789897035,51
"SONSONATE.8083",109,98,25,25,16,1,7,21,3,1,0,0,10,1,1,"dp.pd",318,"dp.pd-SONSONATE.8083",655,770,849,971,1641,NA,0.00601666666666667,0.997255229461702,16
"USULUTAN.8083",332,156,16,59,7,0,0,121,34,7,1,4,3,0,1,"dp.pd",741,"dp.pd-USULUTAN.8083",2077,2937,3315,3722,4603,NA,0.00689162561576355,0.99325319642783,4
"USULUTAN.8492",89,19,2,117,17,3,1,90,9,0,3,5,6,0,1,"dp.pd",362,"dp.pd-USULUTAN.8492",800,929,1037,1203,2107,NA,0.00810434782608696,0.971895244380608,1
"8081",3208,2757,639,346,439,22,36,643,158,51,28,14,50,3,5,"period2",8399,"period2-8081",21039,22064,36933,42208,49375,NA,0.108574415927694,0,56
"8283",1700,1055,204,1968,254,29,47,395,182,20,24,54,138,8,25,"period2",6103,"period2-8283",19435,24350,29732,64349,84090,NA,0.0656051571752003,0,56
"8485",414,282,29,940,73,37,8,220,51,3,5,33,44,8,6,"period2",2153,"period2-8485",5583,7427,8435,9297,10945,NA,0.00692413793103448,0.993104486182788,52
"8687",284,153,17,353,162,20,8,117,23,2,3,18,34,1,4,"period2",1199,"period2-8687",3178,3547,3755,4001,4644,NA,0.00608333333333334,0.996950298353181,13
"8889",296,146,21,490,162,14,21,215,30,7,3,26,40,5,8,"period2",1484,"period2-8889",4184,4793,5194,5612,6797,NA,0.00940425531914893,0.86127562052437,42
"9092",155,68,17,141,40,5,2,238,15,4,4,11,8,1,1,"period2",710,"period2-9092",2232,2602,2823,3087,3653,NA,0.00626106194690265,0.996137373605908,8
"8081.CABANAS",123,290,45,12,1,0,0,15,1,10,1,0,0,0,0,"pd2.dp",498,"pd2.dp-8081.CABANAS",1051,1178,1262,1357,1579,NA,0.00925,0.880764872930653,5
"8081.CHALATENANGO",392,859,200,12,7,8,9,11,3,3,0,0,3,0,0,"pd2.dp",1507,"pd2.dp-8081.CHALATENANGO",2908,3078,3171,3289,3556,NA,0.00940816326530612,0.860781874509855,16
"8081.CUSCATLAN",223,349,61,56,18,2,4,35,9,5,0,0,6,1,2,"pd2.dp",771,"pd2.dp-8081.CUSCATLAN",1875,2171,2409,3004,5159,NA,0.00803076923076923,0.975755790394371,52
"8081.LA LIBERTAD",198,150,37,13,16,3,2,39,10,0,1,2,10,0,0,"pd2.dp",481,"pd2.dp-8081.LA LIBERTAD",1061,1186,1269,1356,1595,NA,0.0130561224489796,0.314710209961219,27
"8081.LA PAZ",187,128,10,15,2,1,2,25,6,1,1,0,0,1,0,"pd2.dp",379,"pd2.dp-8081.LA PAZ",904,1252,1476,1740,2286,NA,0.00803448275862068,0.975560947789915,1
"8081.MORAZAN",428,144,75,111,345,2,10,56,1,4,8,2,4,0,0,"pd2.dp",1190,"pd2.dp-8081.MORAZAN",2455,4535,5583,6744,10260,NA,0.0106434977578475,0.681280557970082,51
"8081.SAN SALVADOR",653,265,63,48,32,5,4,264,82,12,11,5,19,0,2,"pd2.dp",1465,"pd2.dp-8081.SAN SALVADOR",3682,4145,4468,4858,7673,NA,0.007125,0.992185749782547,30
"8081.SAN VICENTE",499,183,79,37,6,0,2,29,12,1,5,1,1,0,1,"pd2.dp",856,"pd2.dp-8081.SAN VICENTE",1799,1994,2134,2438,4363,NA,0.0087,0.934521189122747,1
"8081.SANTA ANA",177,80,29,2,4,1,1,19,0,4,0,1,0,1,0,"pd2.dp",319,"pd2.dp-8081.SANTA ANA",524,663,723,792,954,NA,0.00686111111111111,0.993392768753774,19
"8081.SONSONATE",72,82,23,6,6,0,2,12,0,1,0,0,4,0,0,"pd2.dp",208,"pd2.dp-8081.SONSONATE",390,464,521,586,989,NA,0.0122692307692308,0.420540897244385,30
"8081.USULUTAN",161,101,12,1,2,0,0,70,27,5,1,2,2,0,0,"pd2.dp",384,"pd2.dp-8081.USULUTAN",675,837,1089,1496,2108,NA,0.0142037470725995,0.195534711556732,19
"8283.CHALATENANGO",126,340,55,20,10,2,1,6,1,0,1,2,1,1,0,"pd2.dp",566,"pd2.dp-8283.CHALATENANGO",1109,1278,1381,1491,1865,NA,0.00936301369863013,0.866486256736914,28
"8283.CUSCATLAN",218,123,32,123,26,8,21,14,2,0,2,1,7,0,1,"pd2.dp",578,"pd2.dp-8283.CUSCATLAN",1004,1452,1850,2362,4106,NA,0.00713888888888889,0.992122222468272,56
"8283.LA LIBERTAD",63,48,3,105,25,4,4,32,12,0,3,7,16,1,1,"pd2.dp",324,"pd2.dp-8283.LA LIBERTAD",714,851,937,1037,1300,NA,0.00833823529411764,0.959623559545149,13
