match_group_id,in_CDHES,in_UN_TRC,in_UN_TRC_2,in_Rescate,date,geocode,perp1,perp2
17231,0,0,0,1,1982-11-01,52200,DEATH SQUAD,UNKNOWN
17232,0,0,0,1,1982-11-01,101200,DEATH SQUAD,UNKNOWN
17233,0,0,0,1,1989-10-10,50200,UNKNOWN,UNKNOWN
17234,0,0,0,1,1981-05-18,51000,PARAMILITARY,ARMY
17235,0,0,0,1,1982-11-01,10000,DEATH SQUAD,UNKNOWN
17236,0,0,0,1,1982-11-01,20100,DEATH SQUAD,UNKNOWN
17237,0,0,0,1,1982-11-01,20100,DEATH SQUAD,UNKNOWN
17238,0,0,0,1,1981-06-01,10000,ARMY,UNKNOWN
17239,0,0,0,1,1981-06-01,10000,ARMY,UNKNOWN
17240,0,0,0,1,1981-06-01,10000,ARMY,UNKNOWN
17241,0,0,0,1,1981-06-01,10000,ARMY,UNKNOWN
17242,0,0,0,1,1981-06-01,10000,ARMY,UNKNOWN
17243,0,0,0,1,1985-02-03,50000,DEATH SQUAD,UNKNOWN
17244,0,0,0,1,1982-11-01,100000,PARAMILITARY,UNKNOWN
17245,0,0,0,1,1985-02-06,60200,ARMY,UNKNOWN
17246,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17247,0,0,0,1,1981-06-26,60200,OTHER,UNKNOWN
17248,0,0,0,1,1982-11-01,71500,ARMY,UNKNOWN
17249,0,0,0,1,1983-11-01,120100,DEATH SQUAD,UNKNOWN
17250,0,0,0,1,1983-11-01,100100,DEATH SQUAD,UNKNOWN
17251,0,0,0,1,1982-11-02,60100,DEATH SQUAD,UNKNOWN
17252,0,0,0,1,1981-06-28,10000,ARMY,UNKNOWN
17253,0,0,0,1,1983-02-23,60100,DEATH SQUAD,UNKNOWN
17254,0,0,0,1,1982-11-04,60100,DEATH SQUAD,UNKNOWN
17255,0,0,0,1,1983-11-01,70900,ARMY,UNKNOWN
17256,0,0,0,1,1982-11-04,60100,DEATH SQUAD,UNKNOWN
17257,0,0,0,1,1982-11-04,61800,DEATH SQUAD,UNKNOWN
17258,0,0,0,1,1982-11-05,121000,DEATH SQUAD,UNKNOWN
17259,0,0,0,1,1982-11-05,60100,DEATH SQUAD,UNKNOWN
17260,0,0,0,1,1981-07-24,100100,ARMY,UNKNOWN
17261,0,0,0,1,1981-07-24,100100,ARMY,UNKNOWN
17262,0,0,0,1,1981-07-24,100100,ARMY,UNKNOWN
17263,0,0,0,1,1982-11-11,10000,ARMY,UNKNOWN
17264,0,0,0,1,1982-11-11,10000,ARMY,UNKNOWN
17265,0,0,0,1,1982-11-12,51000,UNKNOWN,UNKNOWN
17266,0,0,0,1,1983-11-04,71500,ARMY,ARMY
17267,0,0,0,1,1981-07-30,132400,ARMY,UNKNOWN
17268,0,0,0,1,1981-07-31,60800,ARMY,UNKNOWN
17269,0,0,0,1,1981-07-31,60800,ARMY,UNKNOWN
17270,0,0,0,1,1981-07-31,60800,ARMY,UNKNOWN
17271,0,0,0,1,1981-07-31,60800,ARMY,UNKNOWN
17272,0,0,0,1,1981-07-31,60800,ARMY,UNKNOWN
17273,0,0,0,1,1981-07-31,60800,ARMY,UNKNOWN
17274,0,0,0,1,1981-07-31,60800,ARMY,UNKNOWN
17275,0,0,0,1,1982-11-16,41800,ARMY,UNKNOWN
17276,0,0,0,1,1981-08-01,71500,ARMY,UNKNOWN
17277,0,0,0,1,1981-08-01,10000,ARMY,UNKNOWN
17278,0,0,0,1,1981-08-01,10000,ARMY,UNKNOWN
17279,0,0,0,1,1985-02-23,10000,FMLN,UNKNOWN
17280,0,0,0,1,1985-02-23,10000,FMLN,UNKNOWN
17281,0,0,0,1,1986-03-28,100000,ARMY,UNKNOWN
17282,0,0,0,1,1985-06-07,111600,ARMY,UNKNOWN
17283,0,0,0,1,1981-08-15,90800,ARMY,UNKNOWN
17284,0,0,0,1,1981-08-15,90800,ARMY,UNKNOWN
17285,0,0,0,1,1981-08-15,90800,ARMY,UNKNOWN
17286,0,0,0,1,1981-08-15,90800,ARMY,UNKNOWN
17287,0,0,0,1,1985-06-07,111600,ARMY,UNKNOWN
17288,0,0,0,1,1982-11-19,90500,DEATH SQUAD,UNKNOWN
17289,0,0,0,1,1985-02-24,70000,ARMY,UNKNOWN
17290,0,0,0,1,1983-11-09,52200,PARAMILITARY,UNKNOWN
17291,0,0,0,1,1983-11-09,52200,PARAMILITARY,UNKNOWN
17292,0,0,0,1,1983-02-28,90000,ARMY,UNKNOWN
17293,0,0,0,1,1983-03-01,100000,ARMY,UNKNOWN
17294,0,0,0,1,1985-02-25,110900,FMLN,UNKNOWN
17295,0,0,0,1,1985-02-25,110900,FMLN,UNKNOWN
17296,0,0,0,1,1985-06-09,71500,ARMY,ARMY
17297,0,0,0,1,1985-02-25,71500,ARMY,UNKNOWN
17298,0,0,0,1,1985-03-02,100100,ARMY,UNKNOWN
17299,0,0,0,1,1981-08-28,71500,ARMY,ARMY
17300,0,0,0,1,1985-02-26,61800,DEATH SQUAD,UNKNOWN
17301,0,0,0,1,1985-02-26,60300,ARMY,UNKNOWN
17302,0,0,0,1,1985-02-26,60300,ARMY,UNKNOWN
17303,0,0,0,1,1981-09-01,101100,ARMY,UNKNOWN
17304,0,0,0,1,1981-09-01,101100,ARMY,UNKNOWN
17305,0,0,0,1,1981-09-01,100000,ARMY,UNKNOWN
17306,0,0,0,1,1982-11-20,81100,DEATH SQUAD,UNKNOWN
17307,0,0,0,1,1987-11-12,61800,OTHER,UNKNOWN
17308,0,0,0,1,1983-03-01,100000,FMLN,UNKNOWN
17309,0,0,0,1,1990-06-15,61000,ARMY,UNKNOWN
17310,0,0,0,1,1985-03-01,70000,ARMY,UNKNOWN
17311,0,0,0,1,1985-03-01,60100,DEATH SQUAD,UNKNOWN
17312,0,0,0,1,1985-03-01,60400,ARMY,UNKNOWN
17313,0,0,0,1,1983-11-16,60100,DEATH SQUAD,UNKNOWN
17314,0,0,0,1,1985-03-01,60100,FMLN,UNKNOWN
17315,0,0,0,1,1990-06-24,20500,PARAMILITARY,UNKNOWN
17316,0,0,0,1,1983-06-26,60000,DEATH SQUAD,UNKNOWN
17317,0,0,0,1,1985-05-01,110700,OTHER,UNKNOWN
17318,0,0,0,1,1985-05-01,110700,OTHER,UNKNOWN
17319,0,0,0,1,1982-11-22,60100,DEATH SQUAD,UNKNOWN
17320,0,0,0,1,1989-11-12,20100,ARMY,UNKNOWN
17321,0,0,0,1,1985-03-01,20100,DEATH SQUAD,UNKNOWN
17322,0,0,0,1,1985-03-01,20100,DEATH SQUAD,UNKNOWN
17323,0,0,0,1,1982-02-23,70000,ARMY,UNKNOWN
17324,0,0,0,1,1990-06-29,80100,ARMY,UNKNOWN
17325,0,0,0,1,1984-04-06,20000,ARMY,UNKNOWN
17326,0,0,0,1,1985-03-01,60100,DEATH SQUAD,UNKNOWN
17327,0,0,0,1,1982-11-23,60100,DEATH SQUAD,UNKNOWN
17328,0,0,0,1,1982-11-23,61800,DEATH SQUAD,UNKNOWN
17329,0,0,0,1,1982-11-23,60100,DEATH SQUAD,UNKNOWN
17330,0,0,0,1,1985-06-24,60300,ARMY,UNKNOWN
17331,0,0,0,1,1987-09-17,60300,OTHER,UNKNOWN
17332,0,0,0,1,1982-02-28,71500,DEATH SQUAD,UNKNOWN
17333,0,0,0,1,1985-06-19,60100,FMLN,UNKNOWN
17334,0,0,0,1,1985-06-19,60100,FMLN,UNKNOWN
17335,0,0,0,1,1982-03-01,71500,ARMY,UNKNOWN
17336,0,0,0,1,1986-04-10,60100,DEATH SQUAD,UNKNOWN
17337,0,0,0,1,1982-11-25,60100,DEATH SQUAD,UNKNOWN
17338,0,0,0,1,1982-11-25,60100,DEATH SQUAD,UNKNOWN
17339,0,0,0,1,1982-11-25,60100,DEATH SQUAD,UNKNOWN
17340,0,0,0,1,1985-03-06,71500,ARMY,UNKNOWN
17341,0,0,0,1,1985-03-06,71500,ARMY,UNKNOWN
17342,0,0,0,1,1982-11-26,60100,DEATH SQUAD,UNKNOWN
17343,0,0,0,1,1985-03-06,71500,ARMY,UNKNOWN
17344,0,0,0,1,1990-07-10,30700,OTHER,UNKNOWN
17345,0,0,0,1,1983-11-30,61800,DEATH SQUAD,UNKNOWN
